locationID,locationName,LongitudeMeasure,LatitudeMeasure,locationType
UT0000035,"ASHLEY VALLEY OPERATING COMPANY, LLC",-109.414844,40.367113,NON-POTW
UT0000051,"KENNECOTT UTAH COPPER, LLC",-112.088275,40.741612,NON-POTW
UT0000116,UTAH POWER & LIGHT COMPANY,-111.926354,40.768613,NON-POTW
UT0000167,AMERICAN GILSONITE CO,-109.184722,39.995,NON-POTW
UT0000175,"CHEVRON USA, INC.",-111.930772,40.824668,NON-POTW
UT0000281,SWIFT BEEF COMPANY,-111.86086,41.64415,NON-POTW
UT0000361,"GPM ENVIRO PROJECT MANAGER, LLC",-111.748174,40.311083,NON-POTW
UT0000523,MORTON SALT INC,-112.509958,40.70883,NON-POTW
UT0000612,MCWANE DUCTILE-UTAH,-111.631752,40.199753,NON-POTW
UT0000639,CARGILL SALT,-112.636908,40.769383,NON-POTW
UT0000647,COMPASS MINERALS CORPORATION,-112.22376,41.27432,NON-POTW
UT0020001,SNYDERVILLE BASIN WRD,-111.564117,40.756884,POTW
UT0020052,FERRON - CITY OF,-111.168053,39.098942,POTW
UT0020061,OAKLEY - TOWN OF,-111.300466,40.709394,POTW
UT0020095,DUCHESNE CITY WWTP,-110.40147,40.161598,POTW
UT0020109,SPANISH FORK CITY CORPORATION,-111.650586,40.137225,POTW
UT0020192,HENEFER,-111.506869,41.030224,POTW
UT0020214,LEWISTON CITY,-111.856684,41.974684,POTW
UT0020222,MORONI CITY WASTE WATER TREATMENT PLANT,-111.591179,39.517968,NON-POTW
UT0020231,LAKEPOINT IMPROV DIST,-112.284975,40.674416,POTW
UT0020303,TREMONTON CITY CORPORATION,-112.160814,41.699093,POTW
UT0020311,BEAR RIVER - TOWN OF,-112.138778,41.601083,POTW
UT0020338,USBOR-FLAMING GORGE DAM,-109.424303,40.908293,FEDERAL
UT0020371,WELLSVILLE CITY CORPORATION,-111.930779,41.629933,POTW
UT0020419,MOAB CITY CORPORATION,-109.581535,38.579427,POTW
UT0020427,PAYSON CITY CORPORATION,-111.731059,40.061337,POTW
UT0020834,SPRINGVILLE CITY WWT PLANT,-111.66745,40.24307,POTW
UT0020893,MORGAN CITY CORPORATION,-111.67815,41.03581,POTW
UT0020907,CITY OF RICHMOND,-111.834111,41.924833,POTW
UT0020915,OREM CITY CORPORATION,-111.744234,40.276981,POTW
UT0020931,CORINNE - CITY OF,-112.11103,41.54996,POTW
UT0020966,KAMAS - CITY OF,-111.285775,40.65161,POTW
UT0020974,CENTRAL DAVIS CO SEWER,-111.944932,41.0007,POTW
UT0021130,GRANTSVILLE CITY,-112.442759,40.618276,POTW
UT0021296,CASTLE VALLEY SSD - HUNTINGTON,-110.921582,39.312742,POTW
UT0021326,PLAIN CITY SEWER DEPARTMENT,-112.07972,41.29787,POTW
UT0021440,MAGNA WATER & SEWER DISTRICT,-112.073997,40.727863,POTW
UT0021628,SOUTH DAVIS SEWER DISTRICT-SOUTH PLANT,-111.948244,40.843362,POTW
UT0021636,SOUTH DAVIS SEWER DISTRICT-NORTH PLANT,-111.932745,40.901834,POTW
UT0021717,PROVO CITY CORPORATION,-111.65257,40.21594,POTW
UT0021725,SLC WATER RECLAMATION FACILITY,-111.9309,40.8131,POTW
UT0021741,NORTH DAVIS SEWER DIST,-112.109111,41.084387,POTW
UT0021814,PRICE RIVER WATER IMPROVE DIST,-110.83352,39.59627,POTW
UT0021911,CENTRAL WEBER SEWER DISTRICT,-112.04325,41.27143,POTW
UT0021920,LOGAN CITY CORPORATION,-111.83484,41.73642,POTW
UT0022365,BRIGHAM CITY CORPORATION,-112.02585,41.53227,POTW
UT0022403,JORDANELLE SSD,-111.437723,40.634109,NON-POTW
UT0022616,"BRONCO UTAH OPERATIONS, LLC",-111.236281,38.874976,NON-POTW
UT0022896,PACIFICORP-COTTONWOOD/WILBERG MINE,-110.96459,39.32688,NON-POTW
UT0022918,"CANYON FUEL CO., LLC. SUFCO MINE",-111.415,38.915,NON-POTW
UT0023001,NEOLA TOWN WATER & SEWER ASSOC,-110.025734,40.408287,POTW
UT0023094,HIAWATHA COAL COMPANY,-111.050755,39.46385,NON-POTW
UT0023205,HYRUM CITY WWTP,-111.85656,41.63408,POTW
UT0023540,"CANYON FUEL CO., LLC - SKYLINE",-111.204657,39.684322,NON-POTW
UT0023604,PACIFICORP - DEER CREEK MINE,-111.069726,39.376406,NON-POTW
UT0023639,TIMPANOGOS SPECIAL SERV. DIST.,-111.778342,40.343416,POTW
UT0023663,CASTLE VALLEY SPECIAL SERVICE,-111.009083,39.191632,POTW
UT0023680,"CANYON FUEL CO., LLC - SOLDIER",-111.85608,40.624778,NON-POTW
UT0023728,"FOSSIL ROCK RESOURCES, LLC-FOSSIL ROCK MINE",-111.121667,39.295278,NON-POTW
UT0023752,FRESENIUS MEDICAL CARE,-111.98831,41.24235,NON-POTW
UT0023850,NUCOR CORPORATION NUCOR STEEL,-112.1964,41.8825,NON-POTW
UT0023922,RIM MINE,-109.20513,38.064161,NON-POTW
UT0024015,INTERMOUNTAIN CONCRETE,-109.51669,40.45586,NON-POTW
UT0024210,"AIR PRODUCTS & CHEMICALS, INC.",-111.890379,40.909908,NON-POTW
